event link,event name,Start Date,Start Time,End Date,End Time,Timezone,Event Description,,,,Price,Event Company Website,Event Company Name,Organizer: People Discription,Twitter,Facebook,Address,City,State,Zipcode,Country,Latitude,Longitude,ID - Check but NA,N/A,N/A
https://www.eventbrite.com/e/aiml-in-visuals-tickets-696664230467,AI/ML in Visuals,10/23/23,19:00,12/4/23,22:00,Europe/Berlin,"Intensive 7th weeks course is a holistic ground for your growth in the area of AI /Machine Leaning in visuals, going deeper under the hood",555.00 EUR, - ,666.00 EUR,555.00 EUR - 666.00 EUR,,Licht.Pfad,"Licht.Pfad ( English: Light Path) is a Studio based in Berlin, Germany.We are experienced in Motion Graphics & VFX for more than 16 years.Next to different agencies and commercial projects we also des...",,lichtpfad.studio,,,,,,,,696664230467,"Other, Performing & Visual Arts, Class, Training, or Workshop, Event, Ai, Ml, Visuals, Touchdesigner, Neuralnetworks, Machine_learning, machine_learning_course, creative_coding, aiart",en-us
https://www.eventbrite.com/e/aihuman-practical-ai-for-learning-leaders-tickets-731239967427,AI+Human: Practical AI for Learning Leaders,10/24/23,11:30,12/12/23,12:30,America/Detroit,Transform your learning organization with responsible AI integration.,499.00 USD, - ,499.00 USD,499.00 USD - 499.00 USD,https://www.gpstrategies.com/,GP Strategies Corporation,We are your workforce transformation partner.GP Strategies is a leading workforce transformation solutions provider—a truly dedicated global provider in the marketplace delivering custom organizationa...,gpcorp,,,,,,,,,731239967427,"Business & Professional, Class, Training, or Workshop, Ai, Artificialintelligence, Learninganddevelopment, Artificial_intelligence, learning_and_development, learningleaders",en-us
https://www.eventbrite.com/e/humanities-technology-living-with-artificial-intelligence-tickets-690252914047,Humanities & Technology: Living with Artificial Intelligence,10/24/23,18:00,12/6/23,13:00,America/Chicago,"Join the Dallas Institute this fall for ""Humanities & Technology: Living with Artificial Intelligence"".",225.00 USD, - ,225.00 USD,225.00 USD - 225.00 USD,https://dallasinstitute.org/summer-institute/,The Dallas Institute of Humanities and Culture,MISSIONThe Dallas Institute of Humanities and Culture is a nonprofit educational organization whose purpose is to enrich and deepen the practical life of the city with the wisdom and imagination of th...,,,2723 Routh Street,Dallas,TX,75201,US,32.797583,-96.8035558,690252914047,"Science, Science & Technology, Seminar or Talk, Technology, Event, Ai, Artificialintelligence, Living",en-us
https://www.eventbrite.com/e/ai-201-become-an-ai-augmented-cyber-professional-tickets-739604927247,AI 201: Become an AI Augmented Cyber Professional,10/25/23,10:00,11/25/23,11:00,America/Detroit,Learn how to augment your work in cybersecurity with AI in this micro-workshop for cybersecurity professionals.,0.00 USD, - ,0.00 USD,0.00 USD - 0.00 USD,,OverPower,,,,,,,,,,,739604927247,"High Tech, Science & Technology, Class, Training, or Workshop, Ai, Cyber, 101, Become, Assisted",en-us
https://www.eventbrite.co.uk/e/free-counselling-therapy-mediation-personal-development-nlp-training-tickets-745090915987,"Free Counselling, Therapy, Mediation, Personal Development, NLP, Training",10/25/23,12:00,10/24/24,22:00,Europe/London,"Free Counselling  - Personal Development, Mediation, Couples Therapy, Family Therapy, NLP,  Bespoke Training, Therapy",0.00 GBP, - ,0.00 GBP,0.00 GBP - 0.00 GBP,,Womens Consortium,,,,,,,,,,,745090915987,"Health & Wellness, Seminar or Talk, Training, Therapy, Nlp, Activities, Mediation, personal_development, couples_therapy, family_therapy, free_counselling, womens_consortium",en-gb
https://www.eventbrite.com/e/rebrand-ai-accelerator-powered-by-jp-morgan-chase-tickets-729046185767,Rebrand AI Accelerator powered by J.P. Morgan Chase,10/25/23,18:00,12/6/23,19:30,America/Detroit,"An amazing 6-week for Miami area businesses to accelerate the digital transformation for their business. AI, Branding + more!",0.00 USD, - ,0.00 USD,0.00 USD - 0.00 USD,https://rebrand.city,Rebrand Cities,"In a unique collaboration between Rebrand Cities,Wordpress.comand Brand Camp University, we are helping small businesses get online, tell their stories and learn the intricate strategies that help mod...",rebrandcities,rebrandcities,,,,,,,,729046185767,"Business & Professional, Class, Training, or Workshop, Workshop, Tech, Miami, Entrepreneurship, Branding, Ai, Accelerator, Smallbusiness, Virtual, Digitaltransformation",en-us
https://www.eventbrite.ch/e/your-gen-ai-museum-companion-tickets-695858560687,Your Gen AI Museum Companion,10/26/23,18:00,11/16/23,20:00,Europe/Zurich,This introductory course unravels the potential of Gen-AI in revolutionizing storytelling and learning in cultural organizations.,211.99 EUR, - ,211.99 EUR,211.99 EUR - 211.99 EUR,,Cultural Inquiry,"Jose Antonio Gordillo Martorell, Ph.D. is the Founder and CEO of Cultural Inquiry. He is a professional with 23 years of experience in education, collective creativity, content co-creation, change-dri...",,,,,,,,,,695858560687,"Other, Community & Culture, Seminar or Talk, Education, Ai, Museum, Learning, Storytelling, genai",en-gb
https://www.eventbrite.co.uk/e/machine-learning-with-r-6-week-tutor-led-online-training-course-tickets-674135747167,Machine Learning with R - 6-week tutor-led online training course,11/2/23,10:00,12/7/23,11:30,Europe/London,Learn and apply cutting-edge machine learning and AI algorithms using R programming language.,642.29 GBP, - ,963.14 GBP,642.29 GBP - 963.14 GBP,,Mind Project Ltd,"Mind Project Ltd is a Private Limited Company registered in England and Wales under a company no. 08695628. We are based in London, but we carry out our business services nationwide and also internati...",@MindProjectLtd,MindProjectLtd,,,,,,,,674135747167,"Science, Science & Technology, Class, Training, or Workshop, Statistics, Classification, Clustering, Rstats, Machine_learning, Artificial_intelligence, data_mining, predictive_analytics, decision_trees, r_programming_training",en-gb
https://www.eventbrite.co.uk/e/machine-learning-with-python-6-week-tutor-led-online-training-course-tickets-674138034007,Machine Learning with Python - 6-week tutor-led online training course,11/2/23,13:00,12/7/23,14:30,Europe/London,Learn and apply cutting-edge machine learning and AI algorithms using Python programming language.,642.29 GBP, - ,963.14 GBP,642.29 GBP - 963.14 GBP,,Mind Project Ltd,"Mind Project Ltd is a Private Limited Company registered in England and Wales under a company no. 08695628. We are based in London, but we carry out our business services nationwide and also internati...",@MindProjectLtd,MindProjectLtd,,,,,,,,674138034007,"Science, Science & Technology, Class, Training, or Workshop, Python, Classification, Clustering, Machine_learning, Statsmodels, Artificial_intelligence, data_mining, predictive_analytics, scikit_learn, decision_trees",en-gb
https://www.eventbrite.dk/e/hybrid-ai-architectures-stages-tickets-741112697027,Hybrid AI Architectures & Stages,11/3/23,10:00,11/28/23,13:00,Europe/Copenhagen,Hybrid AI Architectures & Stages,1068.91 USD, - ,1068.91 USD,1068.91 USD - 1068.91 USD,,PJ-C,,,,"Anker Engelunds Vej 1, Bygning 101A",Kgs. Lyngby,,2800,DK,55.7860512,12.5233698,741112697027,"Science, Science & Technology, Conference, Event, Ai, Architecture, Hybrid, Stages, Architectures, Artificial_intelligence",en-dk
https://www.eventbrite.co.uk/e/time-series-forecasting-with-r-4-week-tutor-led-online-training-course-tickets-674204272127,Time Series Forecasting with R - 4-week tutor-led online training course,11/7/23,10:00,11/28/23,11:30,Europe/London,Learn and apply industry standard forecasting and machine learning algorithms to time series data using R programming language.,481.87 GBP, - ,802.72 GBP,481.87 GBP - 802.72 GBP,,Mind Project Ltd,"Mind Project Ltd is a Private Limited Company registered in England and Wales under a company no. 08695628. We are based in London, but we carry out our business services nationwide and also internati...",@MindProjectLtd,MindProjectLtd,,,,,,,,674204272127,"Science, Science & Technology, Class, Training, or Workshop, Statistics, Forecasting, Rstats, Data_analytics, Machine_learning, Data_science, Artificial_intelligence, predictive_analytics, decision_trees, r_programming_training",en-gb
https://www.eventbrite.com/e/copy-of-ai-tools-to-help-you-or-your-business-stand-out-tickets-743124624757,Copy of AI Tools to Help You or Your Business Stand Out,11/7/23,12:30,12/7/23,14:30,America/New_York,Learn about different AI resources to help build your business or market yourself.,0.00 USD, - ,0.00 USD,0.00 USD - 0.00 USD,https://blogs.baruch.cuny.edu/fieldcenter/,Lawrence N. Field Center for Entrepreneurship,"The Field Center provides a comprehensive, contemporary, integrated set of educational and support services to current and aspiring entrepreneurs within the New York City entrepreneurial ecosystem. In...",,BaruchEntrepreneurs,55 Lexington Avenue Room 2-140,New York,NY,10010,US,40.7402841,-73.9837425,743124624757,"High Tech, Science & Technology, Class, Training, or Workshop, Business, Ai, Help, Tools, Standout, Baruch, Makerhub, fieldcenter",en-us
https://www.eventbrite.com/e/social-media-strategy-analytics-tickets-650657543227,Social Media Strategy & Analytics,11/9/23,9:30,11/23/23,17:00,Asia/Qatar,The  foundational masterclass focuses on tools for developing social media strategies and improved analytics for marketing.,1823.00 USD, - ,2145.00 USD,1823.00 USD - 2145.00 USD,,Northwestern University in Qatar,"Northwestern University's international campus in Doha was founded in 2008 in partnership with Qatar Foundation. Northwestern Qatar is committed to excellent teaching, innovative research, and the per...",nuqatar,northwesternqatar,Executive Education 8C9W+87 Ar-Rayyan,Doha,,,QA,25.3183125,51.4456875,650657543227,"Career, Business & Professional, Class, Training, or Workshop, Digital_marketing, Artificial_intelligence, digital_transformation, social_media_marketing, social_media_strategy, audience_segmentation, digital_analytics, stakeholder_engagement, strategic_communications, social_media_analytics",en-us
https://www.eventbrite.com/e/live-online-ai-design-course-for-designers-creative-minds-tickets-740631969157,LIVE ONLINE AI DESIGN COURSE :: for designers & creative minds,11/9/23,20:00,12/7/23,22:00,America/Los_Angeles,"Learn to unlock AI tools for creativity in this live online course. Generate graphics, photos, art, and more in seconds!",1200.00 USD, - ,1200.00 USD,1200.00 USD - 1200.00 USD,,UZIMEDIA,,,,,,,,,,,740631969157,"High Tech, Science & Technology, Class, Training, or Workshop, Live, Creative, Ai, Design, Online, Course, Productivity, Artificial_intelligence, midjourney, chatgpt",en-us
https://www.eventbrite.com.au/e/nlp-practitioner-coaching-qualifications-deposit-live-online-tickets-687036323137,NLP PRACTITIONER & COACHING QUALIFICATIONS -  DEPOSIT - LIVE ONLINE,11/13/23,9:00,11/19/23,18:00,Australia/Sydney,Hold a confident PRESENCE to lead and professionally coach others with 4 QUALIFICATIONS,895.00 AUD, - ,895.00 AUD,895.00 AUD - 895.00 AUD,http://weinstitute.com.au,WELLNESS EMPOWERMENT AND TRAINING INSTITUTE,"WE is a vibrant community of professionals, supporting and fostering all modalities that have the potential to improve quality of life.Founded by friends Bruce and Kali, WE Institute (WE) began as a v...",,WEInstituteAustralia,,,,,,,,687036323137,"Career, Business & Professional, Class, Training, or Workshop, Fun, Nlp, Brain, Coach, Choice, Expansion, personal_development, nlp_practitioner, nlp_coaching, hypnosis_training",en-au
https://www.eventbrite.com/e/artificial-intelligence-in-radiology-workflow-from-concept-to-experience-tickets-657813567087,Artificial intelligence in radiology workflow: from concept to experience,11/15/23,13:30,11/17/23,17:30,Europe/Madrid,Join us for a unique experience of artificial intelligence in medical imaging.,942.79 EUR, - ,942.79 EUR,942.79 EUR - 942.79 EUR,,TMC Academy,,,,,,,,,,,657813567087,"Medicine, Science & Technology, Class, Training, or Workshop, Training, Experience, Workflow, Fellowship, Artificialintelligence, Accredited, Cme, Radiology, Concept",en-gb
https://www.eventbrite.com/e/learn-english-247-with-free-ai-chatbot-companion-tickets-725175588707,Learn English 24/7 with Free AI Chatbot Companion,11/16/23,6:00,11/17/23,6:00,Asia/Kolkata,Chatting with an AI in English makes learning English fun and easy.,0.00 USD, - ,0.00 USD,0.00 USD - 0.00 USD,https://www.PepTalkRadio.com/,Pep Talk Radio,"Pep Talk Radio - Inspire and be Inspired!We organize virtual language events.Join our Telegram group for future updates:https://t.me/peptalkradio(or, search for Pep Talk Radio in Telegram)Visit our we...",thepeptalkradio,thepeptalkradio,,,,,,,,725175588707,"Education, Family & Education, Class, Training, or Workshop, Ai, English, Englishlanguage, peptalkradio, english_language, english_class, english_conversation, english_online, english_practice, pep_talk_radio_events",en-us
https://www.eventbrite.ca/e/billets-colloque-de-lindustrie-bovine-quebecoise-2023-685054294837,Colloque de l'industrie bovine québécoise 2023,11/16/23,8:15,11/16/23,18:00,America/Montreal,Le CIBQ est de retour sous la thématique « Durabilité et Innovations ». Un rendez-vous à ne pas manquer!,52.50 CAD, - ,225.05 CAD,52.50 CAD - 225.05 CAD,,Les Producteurs de bovins du Québec,,,,"550, rue Saint-Amant",Drummondville,QC,J2C 6Z3,CA,45.8964096,-72.5128546,685054294837,"Business & Professional, Seminar or Talk, Agriculture, Upa, Viande, Bovin, boeuf, colloque_boeuf, colloque_bovin, colloque_industrie, pbq, veau",fr-ca
https://www.eventbrite.com/e/boulder-valley-real-estate-conference-presented-by-bizwest-tickets-729001060797,Boulder Valley Real Estate Conference presented by BizWest,11/16/23,8:30,11/16/23,16:00,America/Denver,"The premier real estate event of the year, complete with comprehensive analysis of residential and commercial real estate trends and data",75.00 USD, - ,95.00 USD,75.00 USD - 95.00 USD,https://bizwest.com/,BizWest Media,"BizWest provides comprehensive business news, analysis, features, and data on Boulder, Broomfield, Larimer, and Weld counties, plus Brighton and Westminster.Two daily email newsletters highlight the m...",,bizwestmedia,2601 Canyon Blvd,Boulder,CO,80302,US,40.0181589,-105.2601158,729001060797,"Business & Professional, Convention, Training, Realtor, Conference, Realestate, Boulder, Colorado, real_estate, real_estate_education, bizwest",en-us
https://www.eventbrite.com/e/billets-cest-qui-la-boss-festival-winter-edition-la-caserne-715413159017,C'est Qui La Boss Festival - Winter Edition - La Caserne,11/16/23,8:45,11/17/2023,,Europe/Paris,"Êtes-vous prête à voyager à destination de votre succès ?
Découvrez la seconde édition du Festival C’est qui la boss. Un évènement unique !",49.00 EUR, - ,49.00 EUR,49.00 EUR - 49.00 EUR,,C'est qui la boss?,,,,12 Rue Philippe de Girard,Paris,IDF,75010,FR,48.8816648,2.3619811,715413159017,"Christmas, Seasonal & Holiday, Festival or Fair, Festival, Winter, Boss, Édition, caserne, cestquilaboss",fr-fr
https://www.eventbrite.com/e/silicon-valley-ai-tech-discovery-tour-tickets-695659415037,SILICON VALLEY AI TECH DISCOVERY TOUR,11/16/23,9:00,11/16/23,17:00,America/Los_Angeles,"Visit 5 Disruptive AI startups, meet their founders and learn about the unique AI tech they are building",0.00 USD, - ,1499.00 USD,0.00 USD - 1499.00 USD,,Indina-Consulting Innovation Academy,"Indina-Consulting Innovation Academy LLC is an international business consulting company, based in Silicon Valley (San Francisco, CA).We work with global corporations and technology startups from arou...",Indina_Insight,indinaconsulting,450 Serra Mall,Stanford,CA,94305,US,37.4282641,-122.1688453,695659415037,"High Tech, Science & Technology, Tour, Tour, Tech, Ai, Discovery, Siliconvalley, Aitechnology, Aitrends, aistartups, aitour",en-us
https://www.eventbrite.com/e/form-scientific-org-conduct-fundamental-research-ml-artificial-intelligence-tickets-697803598347,Form Scientific Org Conduct Fundamental Research ML Artificial Intelligence,11/16/23,9:00,11/16/23,10:00,America/Los_Angeles,Form a 501(c)(3) Scientific Org. Conduct Fundamental Research in Artificial Intelligence (AI) and other topics under Computer Science.,0.00 USD, - ,0.00 USD,0.00 USD - 0.00 USD,https://www.whomentors.com,WHOMENTORSDOTCOM INC.,"WHOmentorsdotcom, Inc., a multi-state nonprofit public benefit 501(c)(3) tax-exempt 509(a)(2) research corporation, is primarily engaged in interdisciplinary scientific applied research to gain knowle...",RauhmelFoxCEO,rauhmelfox.ceo,1 S Market Street FOURTH FLOOR ONLY (THE SPOT),San Jose,CA,95113,US,37.3350112,-121.892281,697803598347,"Science, Science & Technology, Conference, Nonprofit, Entrepreneurship, Ai, Entrepreneur, Organization, Research, Intelligence, Scientific, Fundamental, Artificial",en-us
https://www.eventbrite.com/e/learn-how-to-do-internet-lead-generation-with-ai-tickets-740906781127,Learn How to Do Internet Lead Generation With AI,11/16/23,9:00,11/16/23,15:00,America/Chicago,"Come join us on November 16, 2023, at 9:00 AM to learn how AI can supercharge your internet lead generation skills!",0.00 USD, - ,0.00 USD,0.00 USD - 0.00 USD,,Debbie Corey,,,,4101 Charlotte Avenue #d160,Nashville,TN,37209,US,36.1514044,-86.8356821,740906781127,"High Tech, Science & Technology, Class, Training, or Workshop, Realtor, Ai, Learn, Lead, Internet, Generation, Realestateeducation, real_estate, real_estate_education, real_estate_training",en-us
https://www.eventbrite.co.uk/e/4th-symposium-on-corporate-acceleration-and-digital-transformation-tickets-737065441577,4th Symposium on Corporate Acceleration and Digital Transformation,11/16/23,9:00,11/16/23,20:00,Europe/London,"The Symposium on Corporate, Digital & Wicked Acceleration is a premiere Annual Event at Imperial College to connect research & best practice",499.99 GBP, - ,499.99 GBP,499.99 GBP - 499.99 GBP,,ICBS I&E Department,,,,Exhibition Road South Kensington,London,,SW7 2AZ,GB,51.4982,-0.1741,737065441577,"Innovation, Ai, Sdg, Acceleration, Ecosystems, Intrapreneurship, Accelerators, Openinnovation, Moonshots, wickedproblems",en-gb
https://www.eventbrite.at/e/watsonxai-partner-enablement-tickets-736436751147,Watsonx.ai Partner Enablement,11/16/23,9:00,11/17/23,14:30,Europe/Vienna,"Watsonx.ai Partner Enablement 
16. und 17. November 2023",0.00 EUR, - ,0.00 EUR,0.00 EUR - 0.00 EUR,https://www.ibm.com/de-de,"IBM Österreich GmbH, EcoSystem & Technology Unit","Wer wir sind. Wofür wir stehen.Wir verfolgen das Ziel, Unternehmen bei der digitalen Transformation und Modernisierung zu unterstützen, um nachhaltig wettbewerbsfähig und erfolgreich zu sein.  Unser b...",,,Obere Donaustraße 95,Wien,Wien,1020,AT,48.2135418,16.3768304,736436751147,"Startups & Small Business, Business & Professional, Class, Training, or Workshop, Ai, Partner, Ecosystem, Ibm, Enablement, watsonx",de-de
https://www.eventbrite.com/e/the-19th-annual-national-black-pre-law-conference-and-law-fair-2023-tickets-608994227127,The 19th Annual National Black Pre-Law Conference and Law Fair 2023,11/16/23,9:00,11/18/23,22:00,America/New_York,The nation's premier information-sharing and networking empowerment event for aspiring Black lawyers!,0.00 USD, - ,499.00 USD,0.00 USD - 499.00 USD,http://www.blackprelawconference.org,BLACK PRE-LAW LLC,"Black Pre-Law LLC is all about empowering aspiring Black lawyers - via websites, events, membership, and mentorship! Join us!",blackprelawconf,NationalBlackPreLawConference,6 Appian Way,Cambridge,MA,2138,US,42.3754763,-71.1219778,608994227127,"Career, Business & Professional, Conference, Lawyer, Lawyers, Lawschool, Prelaw, Collegestudents, Lawstudents, Legaleducation, Blacklawyers, Blackamericans, africanamericans",en-us
https://www.eventbrite.com/e/shift-drugs-addiction-summit-registration-577607628967,SHIFT: Drugs & Addiction Summit,11/16/23,9:00,11/16/23,15:30,America/Chicago,Innovative solutions to reduce crime and overdose and increase recovery and thriving. A better path forward with drugs starts here.,25.00 USD, - ,25.00 USD,25.00 USD - 25.00 USD,http://www.enditforgood.com,End It For Good,End It For Good is a Mississippi-based 501(c)(3) nonprofit founded in 2019. We began as a series of community discussions about Johann Hari's bookChasing the Scream: The First and Last Days of the War...,enditforgoodms,enditforgoodms,105 East Pascagoula Street,Jackson,MS,39201,US,32.2974281,-90.1877975,577607628967,"State, Community & Culture, Conference, Addiction, Recovery, Advocacy, Mississippi, Harmreduction, criminal_justice_reform, drugpolicyreform, enditforgood, shiftsummit, legalregulation",en-us
https://www.eventbrite.com.mx/e/iv-congreso-de-salud-mental-sanamente-tickets-718634985587,"IV Congreso  de Salud Mental ""SanaMente""",11/16/23,9:00,11/16/23,17:30,America/Monterrey,"Te esperamos en esta 4ta edición de nuestro Congreso Anual!
Edición: RECONFIGURANDO",0.00 MXN, - ,0.00 MXN,0.00 MXN - 0.00 MXN,https://www.facebook.com/ingeniumabp,Ingenium ABP,"Somos una asociación sin fines de lucro fundada en el año 2000 con el propósito de brindar Educación y Apoyo, en Salud Mental a quienes sobrellevan alguna condición mental, así como también a sus fami...",,,s/n Avenida Ignacio Morones Prieto,San Pedro Garza García,NLE,66220,MX,25.666683,-100.3822381,718634985587,"Mental health, Health & Wellness, Conference, Mental, Bienestar, Salud, Emociones, Congreso, Internacional, Sanamente",es-mx
https://www.eventbrite.com/e/mastering-ai-chatgpt-summit-ict-hyatt-regency-wichita-registration-752090000437,Mastering AI & ChatGPT Summit ICT -  Hyatt Regency Wichita,11/16/23,9:00,11/16/23,12:00,America/Chicago,"Unlock AI's power at Mastering AI Summit ICT! Dive into ChatGPT, gain immediate ROI, and streamline your tasks. Nov 16, Wichita.",47.00 USD, - ,47.00 USD,47.00 USD - 47.00 USD,,Ford Saeks,"Who is FORD SAEKSBeyond helping other professional speakers and consultants get more bookings, increase sales and gain the competitive edge—he also runs a Multi-million dollar speaking & training busi...",prime_concepts,profitrichresults,400 West Waterman Street,Wichita,KS,67202,US,37.6824297,-97.3420335,752090000437,"Sales & Marketing, Business & Professional, Class, Training, or Workshop, Ai, Wichita, Summit, Ict, Aibootcamp, wichita_events, chatgpt, chatgpt_training, chatgptforbusiness, chatgptforentrepreneurs",en-us
